3393 17611
174.784 555.355 25
548.561 563.838 1
550.814 575.805 2
65.6284 586.22 1
218.818 588.987 1
204.096 590.891 1
162.442 30.6074 2
284.707 71.0335 6
167.132 77.3219 22
145.165 82.3275 12
87.7632 92.7535 34
176.155 94.4208 2
96.0451 98.3604 3
137.785 100.244 21
216.357 103.355 31
168.631 101.008 1
203.522 107.498 22
80.7985 106.818 11
227.417 110.538 2
292.237 113.816 4
217.061 115.246 5
196.565 119.618 20
502.231 117.412 10
168.069 118.301 15
157.327 121.53 8
315.737 120.114 9
209.955 121.99 3
254.111 123.917 34
50.0582 122.163 5
193.294 127.216 7
269.096 123.711 7
65.3983 124.054 6
174.127 124.537 3
202.812 121.839 7
164.838 127.568 3
238.782 128.419 3
295.98 128.501 22
195.276 130.323 31
233.048 131.111 6
200.023 137.864 20
330.4 140.823 24
215.707 141.554 12
212.209 151.26 2
181.514 153.929 5
201.377 154.06 6
180.991 160.403 3
194.51 176.857 42
282.48 171.085 2
149.816 173.036 7
91.6451 175.54 5
72.4855 177.239 6
157.388 179.001 7
211.898 181.054 9
292.709 180.358 12
101.183 179.775 2
112.954 180.685 11
62.6482 183.051 5
280.246 187.159 19
322.975 188.353 1
51.7667 195.49 7
444.545 191.661 1
121.716 192.571 12
274.515 196.842 2
516.037 197.243 6
230.964 200.453 11
180.875 199.506 9
123.456 201.387 2
260.582 202.559 16
494.735 201.163 3
94.1891 204.205 4
106.757 202.432 10
144.57 203.773 1
75.1412 209.081 2
263.744 208.719 2
228.042 211.256 41
318.833 211.947 22
376.118 213.905 5
354.431 213.486 1
69.495 213.641 3
483.171 217.091 3
110.321 220.153 13
435.04 220.327 2
232.059 222.827 31
121.237 225.792 7
553.009 222.586 1
91.769 225.131 17
303.554 224.236 13
80.3995 228.933 3
12.4055 228.553 1
227.456 230.813 23
32.0426 231.412 3
70.8526 230.669 6
381.985 231.379 18
486.868 231.469 9
104.243 233.271 6
256.657 232.757 15
532.165 232.547 1
120.396 234.575 47
441.319 233.04 3
130.836 237.731 22
193.527 241.838 8
165.262 239.143 1
387.179 238.925 21
533.161 239.631 8
89.4634 242.736 23
240.594 242.519 10
39.5667 244.006 14
119.824 244.74 20
255.943 243.746 3
394.944 247.319 51
29.1329 248.385 7
95.6678 246.636 2
167.617 247.791 29
104.979 248.581 1
244.147 249.417 3
39.7016 251.551 8
222.683 251.87 41
529.134 250.592 12
62.2228 251.98 10
85.6228 251.75 10
422.136 251.596 12
30.0902 256.975 6
237.696 260.023 25
248.93 256.356 26
94.436 256.756 7
406.677 261.022 20
38.8183 258.079 1
508.707 257.637 12
125.765 259.366 22
298.051 261.582 14
18.3169 261.825 2
415.824 262.892 7
426.181 262.043 3
512.638 264.305 5
226.865 266.72 20
181.704 267.97 12
211.671 267.81 4
400.092 267.071 1
24.6906 267.556 2
187.002 265.209 9
163.32 268.37 38
119.189 271.276 9
310.812 270.891 4
411.806 272.601 48
197.053 281.509 36
494.227 273.85 4
404.677 273.454 9
72.2206 277.866 6
120.823 278.799 18
156.473 276.85 11
134.501 279.193 31
173.093 279.735 11
180.457 281.213 8
495.043 278.457 1
407.09 280.501 21
264.524 281.313 1
116.742 283.293 17
65.6907 289.758 21
408.766 289.711 7
469.952 291.283 6
507.97 294.844 3
514.673 293.615 3
224.324 299.304 13
453.76 299.656 22
215.155 303.37 22
411.947 302.04 17
97.8089 306.606 21
117.422 306.07 16
57.0846 304.662 18
128.062 308.969 9
162.091 310.791 23
183.962 311.482 20
460.641 309.455 3
153.435 311.511 14
200.505 310.523 11
484.406 311.729 1
209.057 312.594 8
415.109 315.763 11
165.361 315.903 2
469.039 316.199 2
53.2977 318.905 23
479.131 317.773 11
110.771 319.171 29
126.466 322.362 2
106.006 324.058 27
404.524 328.344 16
362.32 328.089 18
372.947 328.663 15
383.213 328.431 13
393.44 329.133 12
134.564 328.696 9
354.042 331.41 15
343.695 330.7 12
26.6171 330.249 6
208.658 333.427 11
417.744 331.307 15
334.418 333.651 14
531.404 330.344 3
455.788 333.129 11
155.43 334.953 2
326.23 338.392 18
316.418 337.657 22
459.992 336.516 4
113.912 337.642 5
246.769 338.529 12
123.169 342.694 16
306.117 342.246 19
440.406 341.968 8
487.362 340.724 1
456.896 343.341 18
281.315 344.685 7
296.367 348.238 21
370.278 347.467 7
375.835 349.388 2
474.152 351.05 3
268.578 350.491 15
342.211 353.507 15
449.803 353.299 26
106.197 351.729 12
146.505 356.941 20
287.001 354.736 26
382.588 356.222 17
221.916 355.064 10
354.895 354.56 11
463.909 355.706 13
364.752 359.053 7
231.034 357.781 15
111.642 356.911 27
122.087 359.691 19
441.836 361.617 27
128.306 362.199 4
139.278 361.565 4
153.668 360.147 4
205.204 363.418 15
223.414 361.947 9
497.745 363.833 11
316.656 367.344 8
368.333 363.76 7
247.918 363.994 46
217.606 369.394 7
355.728 369.173 12
196.615 371.786 32
306.718 370.292 10
388.157 368.961 5
434.69 372.948 32
256.937 371.611 11
122.18 371.765 9
502.121 371.644 1
481.417 372.544 2
294.737 376.432 14
470.709 376.396 3
400.252 376.434 14
14.728 376.763 1
432.626 380.385 36
130.52 378.737 26
151.333 379.178 7
185.114 380.99 28
160.512 380.034 9
195.274 381.1 2
230.22 379.364 12
262.852 383.845 15
18.1166 381.79 1
39.7906 382.241 8
240.059 382.409 2
367.004 383.52 9
402.718 382.135 16
249.041 385.3 11
283.316 382.404 14
98.6293 384.09 2
272.825 383.966 3
507.705 384.886 28
327.661 383.752 3
125.719 387.486 47
172.679 388.885 20
202.446 382.156 22
435.991 387.058 28
274.604 393.241 8
120.015 392.09 9
360.641 391.055 2
31.7663 392.087 7
220.403 391.894 5
127.595 392.765 2
200.87 392.616 2
432.091 394.676 6
155.197 394.58 11
211.515 397.861 20
510.151 395.209 9
418.727 395.597 1
45.1121 398.082 15
122.075 396.982 4
454.11 396.865 1
32.3474 400.883 13
145.683 400.163 18
376.555 399.859 3
80.3327 402.86 20
284.909 404.026 17
499.49 402.781 4
165.746 400.903 21
355.34 401.507 2
178.377 401.988 10
127.552 404.168 2
416.86 404.166 11
30.3126 406.125 4
480.159 406.035 4
293.364 408.345 10
22.6477 409.414 2
66.5711 408.886 1
436.947 409.544 2
409.506 410.236 2
183.756 410.032 3
398.671 412.071 1
228.993 410.828 1
22.4505 413.328 4
156.322 414.335 15
131.406 413.813 5
456.289 415.205 7
470.335 414.618 7
101.012 416.125 6
141.087 419.296 27
207.57 416.344 11
34.768 417.104 1
269.561 416.034 1
55.9395 418.444 15
148.507 420.462 16
399.751 418.413 11
386.996 420.076 1
167.535 429.015 55
261.384 427.083 39
203.994 423.188 1
213.725 424.175 8
444.022 424.462 2
460.641 424.605 4
501.069 424.03 11
190.3 426.557 8
429.96 424.925 8
94.3468 425.49 8
415.059 425.967 5
300.532 427.178 1
388.202 426.894 2
401.743 426.61 1
16.5364 429.564 1
154.704 429.514 3
165.01 428.829 2
375.801 429.486 1
202.812 430.087 23
491.132 432.021 3
80.814 433.308 5
244.877 432.461 39
190.401 435.884 19
433.841 433.383 4
404.638 434.558 5
418.144 433.718 5
447.819 434.206 16
175.365 435.298 7
376.102 434.819 9
391.55 435.512 6
257.054 437.687 8
295.535 435.253 4
334.042 435.769 8
363.479 435.97 3
210.674 436.478 4
57.4211 437.842 10
269.765 439.27 17
476.546 438.914 2
223.258 440.259 2
90.0283 441.893 29
194.849 442.706 15
355.006 442.836 13
422.343 443.445 10
154.985 444.44 21
240.971 443.99 1
392.863 445.083 19
405.879 443.767 1
376.369 444.632 9
200.902 447.561 4
224.01 447.737 3
539.849 447.878 1
170.778 451.852 10
67.9404 451.283 6
148.336 453.701 8
452.88 449.483 7
344.247 452.773 16
157.778 453.287 11
193.242 455.747 30
204.315 453.589 3
242.217 453.23 2
435.602 453.553 1
35.4732 455.182 5
168.169 457.507 11
361.814 457.824 12
229.319 457.723 13
402.359 458.481 8
416.652 457.496 5
475.625 456.643 1
492.322 458.082 3
78.527 460.054 19
89.1462 457.764 19
245.545 460.037 15
389.737 459.098 3
66.9338 459.415 7
180.641 463.494 3
149.002 465.306 5
464.113 462.702 17
199.762 466.856 22
427.161 465.682 30
317.397 468.401 11
289.91 469.15 5
24.5313 471.491 3
103.23 470.357 5
430.545 471.334 1
228.354 473.926 12
191.368 475.782 28
45.2218 474.111 4
521.857 475.288 3
35.5082 478.136 5
52.6685 478.146 16
410.149 478.358 4
86.935 479.068 1
114.97 479.33 4
9.54353 479.965 1
227.279 482.896 27
294.549 481.634 1
45.8308 482.944 6
236.137 482.888 6
321.931 485.274 10
158.221 486.439 22
267.32 485.775 11
58.7799 485.338 4
90.8192 487.223 6
203.953 483.861 14
300.473 486.834 7
52.7623 491.119 8
71.6608 490.854 9
169.39 491.696 8
281.647 491.844 13
131.036 491.447 3
88.4587 492.991 7
226.293 492.872 20
91.251 494.226 6
236.56 494.248 33
112.299 497.601 9
49.0465 500.017 9
293.418 499.163 8
35.667 501.884 5
224.963 499.216 12
159.927 501.618 6
304.471 503.017 21
272.888 503.458 28
432.786 502.749 3
215.708 506.49 13
232.724 506.961 9
190.709 507.441 2
159.584 509.532 24
35.2922 509.922 3
176.123 510.587 18
304.312 509.131 1
202.04 513.461 11
413.36 514.338 4
192.349 514.95 8
439.222 515.822 8
169.524 521.657 6
384.596 520.845 1
195.295 523.073 14
436.503 523.282 3
94.9325 524.473 19
146.633 524.033 3
134.43 526.408 2
176.627 527.554 7
122.55 531.157 23
89.0827 528.494 1
164.606 530.182 18
405.559 530.649 4
208.176 529.605 40
182.518 535.367 19
190.23 537.801 14
388.514 536.447 7
347.774 540.69 2
95.0512 544.556 9
83.5346 543.972 2
182.759 543.194 6
324.287 544.398 19
