1263 3393
65.8027 584.485 1
168.837 587.38 3
245.627 588.246 1
299.017 588.052 1
326.634 588.705 1
380.298 144.893 2
316.848 169.849 4
207.06 226.975 1
214.701 247.521 1
302.278 333.223 8
24.2424 516.185 1
121.4 28.9252 2
326.005 29.1989 1
184.038 34.6725 2
231.043 98.3462 6
187.973 209.411 5
344.466 435.184 4
229.623 445.382 5
176.837 466.24 4
24.8646 478.121 1
80.482 563.392 1
147.288 565.308 1
187.154 565.015 1
238.98 564.908 1
292.804 564.859 1
346.63 26.6858 1
392.537 35.5043 1
23.195 49.4355 1
171.407 57.6926 1
360.612 61.9152 2
21.7689 87.4981 1
233.31 150.869 1
158.282 217.118 1
320.429 358.817 1
26.3209 421.078 1
249.28 450.435 1
343.669 471.293 1
377.41 473.749 1
175.837 486.898 7
196.988 497.775 2
312.998 500.106 1
28.8684 512.003 1
213.855 518.145 1
54.3901 568.443 1
213.036 576.636 1
307.719 578.093 1
163.357 163.934 9
357.196 473.501 1
111.43 38.5396 1
339.639 69.6189 1
250.518 88.9645 1
129.912 254.133 8
252.993 501.231 1
191.053 76.4608 1
252.474 131.208 1
286.12 220.584 1
38.2783 391.427 1
45.5456 514.055 1
371.32 496.924 1
173.457 185.858 1
206.048 411.23 1
309.326 426.678 2
128.99 31.0046 2
146.981 193.448 8
27.1813 296.919 3
276.727 302.242 2
36.3552 340.155 6
325.097 378.358 1
317.682 391.692 1
350.296 410.217 2
356.015 415.187 14
376.705 432.473 1
248.733 484.847 1
255.337 510.642 1
155.511 53.3462 5
233.446 127.682 2
380.144 132.022 2
391.652 137.116 5
373.187 140.118 3
383.36 142.608 1
26.7778 252.141 2
152.194 306.18 1
292.114 330.059 4
40.8515 393.888 2
352.217 435.97 1
329.174 461.078 2
198.59 484.985 21
185.959 491.498 13
30.7661 490.012 1
209.756 489.572 2
189.604 492.523 3
165.907 540.371 2
357.458 149.116 5
375.638 46.9086 3
338.195 391.339 4
224.643 142.236 1
159.057 244.457 1
48.2113 347.218 1
184.754 448.623 4
372.825 463.56 1
241.477 470.819 1
177.388 480.716 1
257.487 481.34 1
210.384 532.667 1
275.998 185.861 3
172.1 513.029 1
332.673 430.894 1
229.002 441.663 1
235.542 155.389 1
155.554 410.719 3
248.306 444.667 1
162.846 160.075 3
267.268 218.84 1
320.126 84.2061 1
140.473 43.2941 4
225.574 129.206 2
244.022 196.802 1
260.023 236.31 1
262.831 242.259 3
264.655 247.612 2
268.059 254.818 3
400.349 446.926 1
377.612 451.807 2
272.981 551.669 8
21.523 323.655 1
345.212 152.567 4
218.29 125.323 10
118.351 35.8832 2
135.986 74.9854 2
136.713 80.722 1
290.136 316.954 5
328.865 392.22 7
191.13 484.595 3
187.246 537.054 1
145.993 137.32 9
283.184 527.935 5
165.251 100.501 4
292.548 311.543 3
360.02 417.1 2
318.9 445.397 3
268.519 532.621 3
181.529 458.15 4
355.487 153.763 2
268.649 129.598 2
204.381 130.512 1
132.118 99.2859 4
180.943 201.097 2
145.222 179.688 1
197.441 242.915 11
201.888 258.886 18
211.049 284.516 17
366.81 462.111 1
320.814 455.35 5
251.423 408.929 26
259.979 447.422 9
211.499 462.156 3
223.57 482.379 1
171.427 516.488 6
243.831 453.614 28
306.973 470.36 3
218.16 438.09 4
240.592 483.211 1
268.298 209.221 1
356.72 582.047 2
319.327 468.272 3
307.196 581.592 1
257.418 229.124 3
254.102 581.613 2
207.372 522.374 1
161.738 102.217 4
155.82 54.8956 2
140.04 37.7446 2
138.263 29.5009 2
135.939 21.9293 2
32.174 459.561 1
29.1826 453.669 1
381.471 449.429 1
366.894 440.659 4
273.756 463.553 2
270.728 452.136 3
256.506 409.636 2
255.289 561.971 2
247.208 377.15 3
240.824 366.983 8
234.74 346.168 9
228.419 336.131 14
224.954 326.677 16
221.871 316.198 12
221.867 307.085 5
217.141 297.275 16
213.312 287.747 8
211.163 268.933 1
210.603 279.312 6
208.94 251.564 3
207.138 259.793 1
202.588 241.236 6
198.866 232.333 2
198.499 518.576 2
197.052 222.217 3
195.134 214.709 2
192.209 206.283 2
190.039 196.537 6
185.122 189.706 3
182.013 179.07 5
183.176 171.456 2
178.53 162.351 3
178.423 154.876 2
177.032 42.2257 1
174.199 137.705 2
172.332 131.112 3
168.171 120.251 3
163.794 502.607 3
159.703 558.916 4
160.659 547.298 1
153.566 164.767 2
153.956 172.276 2
152.465 158.483 1
152.224 222.833 1
150.537 230.11 4
152.665 251.545 1
152.848 262.827 2
149.687 205.716 5
151.754 214.83 1
150.191 192.764 1
150.616 201.688 1
145.726 277.569 6
146.457 290.149 8
145.053 267.76 8
146.074 274.579 1
142.502 251.123 10
145.361 259.109 6
142.142 107.907 1
136.172 191.658 7
134.382 159.995 8
134.321 167.449 3
131.743 138.876 7
130.365 116.586 4
129.34 97.9156 1
130.182 102.686 3
127.814 75.3877 3
125.755 85.1849 2
124.097 72.6774 3
122.993 63.9116 4
121.292 44.5954 1
121.809 52.8853 2
119.222 154.199 4
114.268 104.009 2
112.972 93.5496 7
108.588 53.5833 5
107.334 42.3563 2
53.601 426.218 7
379.282 27.0772 1
235.171 357.791 12
231.721 348.801 6
219.536 317.422 2
199.143 482.385 1
198.059 531.974 1
174.677 516.575 1
350.384 428.389 2
333.482 389 2
256.631 433.132 22
221.97 109.985 4
219.898 480.341 1
201.214 120.776 2
196.995 485.923 1
171.038 47.5216 1
153.56 513.476 6
154.332 536.83 5
142.454 176.791 3
141.818 231.04 11
140.675 251.96 1
138.632 272.081 19
140.152 311.939 4
136.262 376.449 7
134.674 403.382 6
133.408 417.864 5
136.103 253.107 1
114.546 160.531 5
316.495 366.004 1
283.339 461.281 5
240.538 456.332 1
225.988 96.6792 2
224.572 149.633 2
302.111 469.029 1
241.979 479.186 12
341.836 455.183 1
310.931 474.584 4
306.417 479.546 2
74.0967 568.513 1
374.776 90.5458 1
406.063 53.6979 1
22.4131 389.754 1
23.8708 343.151 1
190.953 34.311 1
286.24 479.177 2
312.26 450.737 2
291.919 471.12 1
202.781 533.906 2
175.949 523.973 1
264.312 432.074 1
202.914 483.508 7
261.775 421.777 1
162.823 511.943 1
178.651 489.278 1
154.867 513.77 1
165.097 491.937 2
165.998 477.224 3
167.264 459.827 4
39.5132 554.757 2
235.184 337.515 1
32.719 539.483 1
137.594 420.033 3
139.246 406.905 2
140.017 398.564 2
226.056 308.549 1
138.998 380.678 3
150.946 352.216 2
215.038 270.266 1
149.486 331.892 1
211.886 260.206 1
149.643 321.714 3
48.9498 399.285 1
146.719 292.187 2
154.234 278.489 1
195.185 206.756 1
128.546 256.08 6
352.616 31.982 1
151.768 233.879 2
141.621 237.313 1
168.982 195.979 5
138.096 204.88 1
125.808 214.888 6
123.52 198.561 6
207.55 115.07 1
144.91 160.439 4
119.903 171.992 3
133.556 149.212 4
167.196 108.854 4
118.668 142.901 2
162.111 93.2287 1
116.772 130.714 5
159.832 83.9229 1
115.554 114.936 1
179.952 45.6772 3
110.575 77.9372 1
109.803 67.8684 2
105.65 33.409 1
184.86 474.415 2
270.459 548.417 1
208.349 540.579 1
183.444 495.555 1
238.06 435.934 1
316.649 438.201 1
291.269 459.076 2
193.662 526.346 1
259.605 447.802 1
228.37 480.972 2
195.413 491.708 3
247.421 407.231 1
129.502 457.033 6
125.569 254.461 1
119.287 196.114 2
199.172 80.9055 2
140.083 135.951 2
108.503 103.253 2
310.108 357.437 2
232.013 421.778 2
177.737 442.455 5
220.561 382.128 1
180.275 399.891 1
219.679 143.878 1
301.994 465.819 1
216.342 429.97 1
128.605 366.549 1
124.831 230.488 1
385.847 70.3086 2
210.251 122.844 1
331.031 385.765 1
234.194 132.908 1
380.288 137.116 1
397.747 136.593 1
336.094 156.788 2
324.13 159.814 1
167.291 192.718 2
177.218 453.501 1
175.596 475.519 1
297.664 492.213 3
209.237 492.918 1
374.793 144.763 2
345.693 157.989 4
314.78 167.114 1
33.3215 284.05 1
161.628 204.841 2
207.811 351.663 1
299.515 364.074 1
234.536 444.262 2
217.901 118.932 2
159.001 247.992 2
48.5817 350.948 1
195.565 463.392 2
222.533 462.348 1
374.34 469.166 1
334.203 470.763 1
243.393 475.761 5
188.27 499.905 1
256.335 211.882 1
304.871 333.92 1
188.256 216.754 2
228.902 437.399 3
271.652 225.29 1
302.129 338.718 4
306.368 344.258 6
204.942 455.422 1
270.658 544.036 2
197.962 557.1 1
334.722 154.106 1
219.837 131.137 1
207.989 125.353 1
322.907 386.04 1
149.43 188.216 5
195.229 246.094 1
